2025-11-08	-0.2	5.5
2025-11-09	-2.3	-0.1
2025-11-10	-3.1	-1.6
2025-11-11	-3	-1.4
2025-11-12	-3	0.7
2025-11-13	-0.7	2.4
2025-11-14	-0.2	3.4
2025-11-15	-4.6	0.5
2025-11-16	-0.8	1.5
2025-11-17	-3.2	-0
2025-11-18	-1.4	0.3
2025-11-19	-5.5	-1.2
2025-11-20	-3.1	-2.3
2025-11-21	-0.5	0.9
2025-11-22	-2.6	3.3
2025-11-23	-2.2	-0.4
2025-11-24	0	3
2025-11-25	5.6	5.9
2025-11-26	1.6	3.2
2025-11-27	-0.1	2.9
2025-11-28	-3	0.6
2025-11-29	-5.4	-4.2
2025-11-30	-5.7	0.2
2025-12-01	-10.3	0.7
2025-12-02	-11.8	-5.6
2025-12-03	-18.6	-2.1
