Day	Kuala_Lumpur	George_Town	Kota_Kinabalu	Kuching	Johor_Bahru	Ipoh	Melaka	Alor_Setar	Paris	Ottawa	Canberra	Tokyo
2025-11-09	4.030000013113022	7.619999933242798	9.499999904632569	2.6999999642372132	5.949999928474426	4.5222222275204125	13.769999885559082	11.5	6.980000019073486	12.4	4.4499999523162845	3.2100000262260435
2025-11-10	3.9999999566511675	5.8363636190241035	6.636363636363637	2.4909090887416494	3.4727272553877397	3.345454519445246	16.7272725538774	7.327272826975042	11.19090899554166	10.118181705474854	7.099999947981401	4.509090889583934
2025-11-11	3.599999984105428	3.2999999125798545	3.9833333094914756	1.7166666785875957	3.3833332856496177	2.583333373069763	16.233333587646484	5.8666665852069855	10.899999777475992	15.549999872843424	7.049999833106995	6.21666665871938
2025-11-12	2.159999978542328	3.1700000286102297	3.2899999737739565	5.44999989271164	4.560000038146972	2.0399999916553497	12.166666666666666	7.059999895095825	11.09000015258789	6.250000047683716	4.339999961853027	3.2600000143051147
2025-11-13	3.1599999904632567	3.4799999713897707	4.239999914169312	2.019999957084656	2.840000057220459	2.4799999475479124	9.4	5.020000100135803	8.300000095367432	6.999999952316284	6.1	3.0600000262260436
2025-11-14	2.516666660706202	6.183333237965901	4.299999992052714	3.9666667381922402	4.9666666984558105	3.266666750113169	9.56666644414266	15.749999761581421	11.133333365122477	9.733333269755045	7.2833333015441895	3.3333333134651184
2025-11-15	1.6699999809265136	8.759999847412109	3.8700000047683716	4.019999945163727	4.190000033378601	3.2100000023841857	7.489999938011169	18.95999994277954	5.099999976158142	6.469999980926514	9.600000095367431	3.3799999952316284
2025-11-16	3.458333343267441	4.399999996026357	6.875	3.274999961256981	3.8083333472410836	4.058333386977513	6.758333404858907	14.40833338101705	8.53333330154419	14.083333333333334	18.566666920979817	2.8500000337759652
2025-11-17	2.07499997317791	6.325000047683716	3.2125000059604645	4.000000052154064	2.837500050663948	4.849999964237213	6.699999988079071	12.050000011920929	9.337500035762787	19.362499952316284	6.174999982118607	3.112499989569187
2025-11-18	5.7571428162711005	5.842857156481061	4.12857140813555	3.714285680225917	3.6142856904438565	3.328571387699672	11.985714367457799	10.671428544180733	8.02857153756278	15.785714149475098	5.257142782211304	3.500000034059797
2025-11-19	6.383333285649617	3.4499999781449637	4.483333349227905	3.283333326379458	5.816666603088379	2.9833332697550454	18.03333330154419	12.433333237965902	18.03333314259847	7.633333285649617	3.3333333333333335	3.400000015894572
2025-11-20	2.5800000846385958	3.280000019073486	3.159999966621399	3.6	3.3800000190734862	2.600000023841858	15.740000152587891	13.860000038146973	9.619999980926513	4.560000038146972	10.480000209808349	2.4799999713897707
2025-11-21	4.5	4.599999904632568	3.850000023841858	2.199999988079071	1.5499999523162842	1.850000023841858	11.75	15.050000190734863	7.200000047683716	4.9999998807907104	10.349999904632568	4.549999952316284
2025-11-22	4.6400000095367435	6.040000152587891	3.4199999809265136	2.939999920129776	4.899999952316284	3.2	12.379999923706055	22.920000076293945	10.720000076293946	8.980000114440918	4.7200000286102295	3.580000066757202
2025-11-23	4.699999888737996	11.799999872843424	3.900000015894572	2.2333333492279053	3.933333396911621	6.833333333333333	18.166666666666668	21.366666793823242	9.233333428700766	5.5	8.333333333333334	4.133333285649617
2025-11-24	4.916666726271312	13.800000031789144	5.833333333333333	3.2833333015441895	8.100000023841858	5.516666611035665	12.933333237965902	26.483333587646484	15.5	6.983333269755046	6.883333285649617	3.2833333611488342
2025-11-25	5.833333333333333	8.299999872843424	8.166666825612387	3.066666762034098	2.6333332856496177	2.599999984105428	4.566666682561238	14.766666730244955	13.433333396911621	6.5333333015441895	3.6000001231829324	1.0333333412806194
2025-11-26	3.5454545454545454	10.236363584345037	12.245454528115012	4.763636393980547	2.9272727451541205	5.690909125588157	9.700000069358133	19.372727134011008	8.018181800842285	6.730000019073486	10.381818164478648	3.8818182295018975
2025-11-27	11.055555608537462	12.666666666666666	9.722222275204128	4.955555491977268	7.8000000847710504	1.4555555449591742	18.066666709052193	14.922222243414986	9.288888878292507	14.133333206176758	8.344444539811876	3.0666666295793323
2025-11-28	10.333333174387613	8.949999809265137	8	5.924999892711639	10.699999928474426	1.6749999821186066	25.825000286102295	15.90000033378601	10.025000095367432	15.200000286102295	8.225000202655792	6.200000002980232
2025-11-29	3.166666626930237	7.0333333015441895	8.066666603088379	3.1999999284744263	3.5	3.200000047683716	10.666666666666666	10.166666746139526	9.233333428700766	15.96666685740153	21.833333174387615	5.333333333333333
2025-11-30	2.716666658719381	3.416666646798452	4.250000024835269	3.3500000735123954	3	5.1166666348775225	5.066666662693024	9.96666669845581	6.958333293596904	13.391666650772095	13.083333293596903	3.2999999821186066
2025-12-01	4.050000011920929	4.830000114440918	3.6399999856948853	2.4300000071525574	4.519999933242798	5.7400001049041744	6.929999995231628	9.830000114440917	13.969999885559082	11.769999980926514	7.340000009536743	3.219999980926514
2025-12-02	2.7636363695968282	4.590909134257924	3.2818181731484155	3.7000000043348833	1.6199999898672104	4.518181757493452	7.827272718602961	9.045454588803379	11.036363688382236	5.627272714268077	3.98181811246005	3.027272722937844
2025-12-03	3.4600000232458115	5.859999966621399	4.539999985694886	3.2899999737739565	2.7699999809265137	2.9299999833106996	7.870000123977661	12.411111195882162	7.088888857099745	7.433333330684238	5.055555582046509	5.337500065565109
2025-12-04	3.850000023841858	7.000000238418579	4.25	6.049999952316284	3.8999998569488525	6.450000047683716	8.350000143051147	11.5	17.100000381469727	11.549999713897705	6.049999952316284	3.0999999046325684
