Day	Paris	Ottawa	Canberra	Tokyo
2025-11-09	2.5	2.199999950826168	8.099999904632568	2.8000001907348633
2025-11-10	2.5	1.4999998807907104	13.500000715255737	9.09999942779541
2025-11-11	4.5	1.600000023841858	17.59999978542328	2.3000001907348633
2025-11-12	5.899999618530273	3.699999988079071	11.999999523162842	3.40000057220459
2025-11-13	4.500000953674316	3.1000000834465027	8.09999942779541	1.8000001907348633
2025-11-14	4.299999237060547	3.600000098347664	10.5	6.699999809265137
2025-11-15	1.7999992370605469	5.099999904632568	12.59999942779541	5.59999942779541
2025-11-16	4.600000381469727	2.300000011920929	11.600000381469727	7.200000762939453
2025-11-17	3.499999523162842	3.200000047683716	4.800000190734863	5.69999885559082
2025-11-18	7.7000004053115845	1.699999988079071	12.999999523162842	6.500000476837158
2025-11-19	2.8000001907348633	4.299999952316284	10.700000762939453	3
2025-11-20	3.900000214576721	0.7999999523162842	7.799999237060547	5.5
2025-11-21	3.4000000953674316	1.399999976158142	1.5	3.499999523162842
2025-11-22	2.799999952316284	5.8999998569488525	1.7999992370605469	4.299999237060547
2025-11-23	7.700000196695328	1.8000000417232513	5.80000114440918	2.3999996185302734
2025-11-24	3.40000057220459	3	5.600000381469727	4.5
2025-11-25	0.5999999046325684	0.3000001907348633	2.59999942779541	1
2025-11-26	4	1.600000023841858	12.5	8.09999942779541
2025-11-27	3.1999998092651367	3.0000000968575478	15.5	5.800000190734863
2025-11-28	3.1000003814697266	3.600000023841858	7.800000190734863	3.200000762939453
2025-11-29	4.700000286102295	1.200000286102295	4.40000057220459	1.3999996185302734
2025-11-30	3.799999713897705	5.899999812245369	5	6
2025-12-01	3.5999999046325684	11.000000178813934	10.999999523162842	8.000000476837158
2025-12-02	3	6.200000286102295	9.499999523162842	4.09999942779541
2025-12-03	3.6999998092651367	16.500000476837158	14.999999046325684	6.699999809265137
2025-12-04	0.9000000953674316	1.799999713897705	4.200000762939453	0
