2025-11-08	7.1	11
2025-11-09	5.9	14
2025-11-10	3.7	17.2
2025-11-11	-1.9	15.7
2025-11-12	2.9	14.9
2025-11-13	9.8	17.9
2025-11-14	12.1	22.6
2025-11-15	10.8	23.4
2025-11-16	9.1	20.7
2025-11-17	6.5	11.3
2025-11-18	7.4	20.4
2025-11-19	8.5	19.2
2025-11-20	11	18.8
2025-11-21	12.3	13.8
2025-11-22	14.5	16.3
2025-11-23	13.4	19.2
2025-11-24	14.1	19.7
2025-11-25	13.3	15.9
2025-11-26	9.6	22.1
2025-11-27	6	21.5
2025-11-28	13.7	21.5
2025-11-29	12.3	16.7
2025-11-30	7.8	12.8
2025-12-01	2.9	13.9
2025-12-02	3.4	12.9
2025-12-03	5.3	20.1
